Sr No	Gene ID	Specie	Gene name	Gene Description
S000000100	YBL004W	S. cerevisiae	UTP20	U Three Protein
S000000103	YBL007C	S. cerevisiae	SLA1	Synthetic Lethal with ABP1
S000000104	YBL008W	S. cerevisiae	HIR1	HIstone Regulation
S000000105	YBL009W	S. cerevisiae	ALK2	
S000000107	YBL011W	S. cerevisiae	SCT1	Suppressor of Choline-Transport mutants
S000000109	YBL013W	S. cerevisiae	FMT1	Formyl-Methionyl-tRNA Transformylase
S000000111	YBL015W	S. cerevisiae	ACH1	Acetyl CoA Hydrolase
S000000112	YBL016W	S. cerevisiae	FUS3	cell FUSion
S000000113	YBL017C	S. cerevisiae	PEP1	carboxyPEPtidase Y-deficient
S000000114	YBL018C	S. cerevisiae	POP8	Processing Of Precursor RNAs
S000000115	YBL019W	S. cerevisiae	APN2	APurinic/apyrimidinic eNdonuclease
S000000116	YBL020W	S. cerevisiae	RFT1	Requiring Fifty-Three
S000000117	YBL021C	S. cerevisiae	HAP3	Heme Activator Protein
S000000118	YBL022C	S. cerevisiae	PIM1	Proteolysis In Mitochondria
S000000119	YBL023C	S. cerevisiae	MCM2	MiniChromosome Maintenance
S000000120	YBL024W	S. cerevisiae	NCL1	NuCLear protein
S000000122	YBL026W	S. cerevisiae	LSM2	Like SM
S000000123	YBL027W	S. cerevisiae	RPL19B	Ribosomal Protein of the Large subunit
S000000125	YBL029W	S. cerevisiae		
S000000126	YBL030C	S. cerevisiae	PET9	PETite
S000000128	YBL032W	S. cerevisiae	HEK2	HEterogeneous nuclear rnp K-like gene
S000000129	YBL033C	S. cerevisiae	RIB1	RIBoflavin biosynthesis
S000000131	YBL035C	S. cerevisiae	POL12	POLymerase
S000000132	YBL036C	S. cerevisiae		
S000000133	YBL037W	S. cerevisiae	APL3	clathrin Adaptor Protein complex Large chain
S000000134	YBL038W	S. cerevisiae	MRPL16	Mitochondrial Ribosomal Protein, Large subunit
S000000135	YBL039C	S. cerevisiae	URA7	URAcil requiring
S000000136	YBL040C	S. cerevisiae	ERD2	Endoplasmic reticulum Retention Defective
S000000137	YBL041W	S. cerevisiae	PRE7	PRoteinase yscE
S000000138	YBL042C	S. cerevisiae	FUI1	5-FlUorourIdine resistance
S000000139	YBL043W	S. cerevisiae	ECM13	ExtraCellular Mutant
S000000141	YBL045C	S. cerevisiae	COR1	CORe protein of QH2 cytochrome c reductase
S000000142	YBL046W	S. cerevisiae	PSY4	Platinum SensitivitY
S000000143	YBL047C	S. cerevisiae	EDE1	EH Domains and Endocytosis
S000000145	YBL049W	S. cerevisiae	MOH1	
S000000146	YBL050W	S. cerevisiae	SEC17	SECretory
S000000148	YBL052C	S. cerevisiae	SAS3	Something About Silencing
S000000151	YBL055C	S. cerevisiae		
S000000152	YBL056W	S. cerevisiae	PTC3	Phosphatase Two C
S000000153	YBL057C	S. cerevisiae	PTH2	Peptidyl-Trna Hydrolase
S000000154	YBL058W	S. cerevisiae	SHP1	Suppressor of High-copy PP1
S000000155	YBL059W	S. cerevisiae	IAI11	Interactor of AIm11
S000000156	YBL060W	S. cerevisiae	YEL1	Yeast EFA6-Like
S000000157	YBL061C	S. cerevisiae	SKT5	
S000000159	YBL063W	S. cerevisiae	KIP1	KInesin related Protein
S000000160	YBL064C	S. cerevisiae	PRX1	PeroxiRedoXin
S000000162	YBL066C	S. cerevisiae	SEF1	Suppressor of Essential Function
S000000163	YBL067C	S. cerevisiae	UBP13	UBiquitin-specific Protease
S000000164	YBL068W	S. cerevisiae	PRS4	PhosphoRibosylpyrophosphate Synthetase
S000000165	YBL069W	S. cerevisiae	AST1	ATPase STabilizing
S000000168	YBL072C	S. cerevisiae	RPS8A	Ribosomal Protein of the Small subunit
S000000170	YBL074C	S. cerevisiae	AAR2	A1-Alpha2 Repression
S000000171	YBL075C	S. cerevisiae	SSA3	Stress-Seventy subfamily A
S000000172	YBL076C	S. cerevisiae	ILS1	IsoLeucine-tRNA Synthetase
S000000174	YBL078C	S. cerevisiae	ATG8	AuTophaGy related
S000000175	YBL079W	S. cerevisiae	NUP170	NUclear Pore
S000000176	YBL080C	S. cerevisiae	PET112	PETite colonies
S000000178	YBL082C	S. cerevisiae	ALG3	Asparagine Linked Glycosylation
S000000180	YBL084C	S. cerevisiae	CDC27	Cell Division Cycle
S000000182	YBL086C	S. cerevisiae		
S000000183	YBL087C	S. cerevisiae	RPL23A	Ribosomal Protein of the Large subunit
S000000184	YBL088C	S. cerevisiae	TEL1	TELomere maintenance
S000000185	YBL089W	S. cerevisiae	AVT5	Amino acid Vacuolar Transport
S000000187	YBL091C	S. cerevisiae	MAP2	Methionine AminoPeptidase
S000000188	YBL092W	S. cerevisiae	RPL32	Ribosomal Protein of the Large subunit
S000000189	YBL093C	S. cerevisiae	ROX3	Regulation by OXygen
S000000191	YBL095W	S. cerevisiae	MRX3	Mitochondrial oRganization of gene eXpression (MIOREX)
S000000193	YBL097W	S. cerevisiae	BRN1	homolog of BaRreN
S000000194	YBL098W	S. cerevisiae	BNA4	Biosynthesis of Nicotinic Acid
S000000195	YBL099W	S. cerevisiae	ATP1	ATP synthase
S000000198	YBL102W	S. cerevisiae	SFT2	Suppressor of sed Five Ts
S000000200	YBL104C	S. cerevisiae	SEA4	SEh1-Associated
S000000201	YBL105C	S. cerevisiae	PKC1	Protein Kinase C
S000000202	YBL106C	S. cerevisiae	SRO77	Suppressor of rho3
S000000203	YBL107C	S. cerevisiae	MIX23	Mitochondrial Intermembrane space CX(n)C motif protein
S000000205	YBR001C	S. cerevisiae	NTH2	Neutral TreHalase
S000000206	YBR002C	S. cerevisiae	RER2	Retention in the Endoplasmic Reticulum
S000000207	YBR003W	S. cerevisiae	COQ1	COenzyme Q
S000000208	YBR004C	S. cerevisiae	GPI18	GlycosylPhosphatidylInositol
S000000209	YBR005W	S. cerevisiae	RCR1	Resistance to Congo Red
S000000210	YBR006W	S. cerevisiae	UGA2	Utilization of GAba
S000000211	YBR007C	S. cerevisiae	DSF2	Deletion Suppressor of mptFive/pufFive mutation
S000000212	YBR008C	S. cerevisiae	FLR1	FLuconazole Resistance
S000000213	YBR009C	S. cerevisiae	HHF1	Histone H Four
S000000214	YBR010W	S. cerevisiae	HHT1	Histone H Three
S000000215	YBR011C	S. cerevisiae	IPP1	Inorganic PyroPhosphatase
S000000218	YBR014C	S. cerevisiae	GRX7	GlutaRedoXin
S000000219	YBR015C	S. cerevisiae	MNN2	MaNNosyltransferase
S000000220	YBR016W	S. cerevisiae		
S000000221	YBR017C	S. cerevisiae	KAP104	KAryoPherin
S000000222	YBR018C	S. cerevisiae	GAL7	GALactose metabolism
S000000223	YBR019C	S. cerevisiae	GAL10	GALactose metabolism
S000000224	YBR020W	S. cerevisiae	GAL1	GALactose metabolism
S000000225	YBR021W	S. cerevisiae	FUR4	5-FlUoRouridine sensitivity
S000000226	YBR022W	S. cerevisiae	POA1	"Phosphatase Of ADP-ribose 1""-phosphate"
S000000227	YBR023C	S. cerevisiae	CHS3	CHitin Synthase-related
S000000228	YBR024W	S. cerevisiae	SCO2	Suppressor of Cytochrome Oxidase deficiency
S000000229	YBR025C	S. cerevisiae	OLA1	Obg-Like ATPase
S000000230	YBR026C	S. cerevisiae	ETR1	2-Enoyl Thioester Reductase
S000000232	YBR028C	S. cerevisiae	YPK3	
S000000233	YBR029C	S. cerevisiae	CDS1	CDP-Diacylglycerol Synthase
S000000235	YBR031W	S. cerevisiae	RPL4A	Ribosomal Protein of the Large subunit
S000000238	YBR034C	S. cerevisiae	HMT1	HnRNP MethylTransferase
S000000239	YBR035C	S. cerevisiae	PDX3	PyriDoXine auxotrophy
S000000240	YBR036C	S. cerevisiae	CSG2	Calcium Sensitive Growth
S000000241	YBR037C	S. cerevisiae	SCO1	Suppressor of Cytochrome Oxidase deficiency
S000000242	YBR038W	S. cerevisiae	CHS2	CHitin Synthase
S000000243	YBR039W	S. cerevisiae	ATP3	ATP synthase
S000000244	YBR040W	S. cerevisiae	FIG1	Factor-Induced Gene
S000000245	YBR041W	S. cerevisiae	FAT1	FATty acid transporter
S000000246	YBR042C	S. cerevisiae	CST26	Chromosome STability
S000000247	YBR043C	S. cerevisiae	QDR3	QuiniDine Resistance
S000000248	YBR044C	S. cerevisiae	TCM62	TriCarboxylic acid cycle Mutant
S000000250	YBR046C	S. cerevisiae	ZTA1	ZeTA-crystallin
S000000252	YBR048W	S. cerevisiae	RPS11B	Ribosomal Protein of the Small subunit
S000000256	YBR052C	S. cerevisiae	RFS1	Rad55 (Fifty-five) Suppressor
S000000257	YBR053C	S. cerevisiae		
S000000259	YBR055C	S. cerevisiae	PRP6	Pre-mRNA Processing
S000000260	YBR056W	S. cerevisiae	MRX18	Mitochondrial oRganization of gene eXpression (MIOREX)
S000000261	YBR057C	S. cerevisiae	MUM2	MUddled Meiosis
S000000262	YBR058C	S. cerevisiae	UBP14	UBiquitin-specific Protease
S000000263	YBR059C	S. cerevisiae	AKL1	Ark family Kinase-Like protein
S000000264	YBR060C	S. cerevisiae	ORC2	Origin Recognition Complex
S000000265	YBR061C	S. cerevisiae	TRM7	Transfer RNA Methyltransferase
S000000269	YBR065C	S. cerevisiae	ECM2	ExtraCellular Mutant
S000000270	YBR066C	S. cerevisiae	NRG2	Negative Regulator of Glucose-controlled genes
S000000272	YBR068C	S. cerevisiae	BAP2	Branched-chain Amino acid Permease
S000000273	YBR069C	S. cerevisiae	TAT1	Tyrosine and tryptophan Amino acid Transporter
S000000274	YBR070C	S. cerevisiae	ALG14	Asparagine Linked Glycosylation
S000000276	YBR072W	S. cerevisiae	HSP26	Heat Shock Protein
S000000277	YBR073W	S. cerevisiae	RDH54	RaD54 Homolog
S000000278	YBR074W	S. cerevisiae	PFF1	Protease in FXNA-related Family
S000000282	YBR078W	S. cerevisiae	ECM33	ExtraCellular Mutant
S000000283	YBR079C	S. cerevisiae	RPG1	
S000000284	YBR080C	S. cerevisiae	SEC18	SECretory
S000000285	YBR081C	S. cerevisiae	SPT7	SuPpressor of Ty's
S000000286	YBR082C	S. cerevisiae	UBC4	UBiquitin-Conjugating
S000000288	YBR084W	S. cerevisiae	MIS1	MItochondrial C1-tetrahydrofolate Synthase
S000000289	YBR085W	S. cerevisiae	AAC3	ADP/ATP Carrier
S000000291	YBR087W	S. cerevisiae	RFC5	Replication Factor C
S000000292	YBR088C	S. cerevisiae	POL30	POLymerase
S000000295	YBR091C	S. cerevisiae	TIM12	Translocase of the Inner Membrane
S000000296	YBR092C	S. cerevisiae	PHO3	PHOsphate metabolism
S000000297	YBR093C	S. cerevisiae	PHO5	PHOsphate metabolism
S000000298	YBR094W	S. cerevisiae	PBY1	P-BodY associated protein
S000000299	YBR095C	S. cerevisiae	RXT2	
S000000300	YBR096W	S. cerevisiae		
S000000301	YBR097W	S. cerevisiae	VPS15	Vacuolar Protein Sorting
S000000305	YBR101C	S. cerevisiae	FES1	Factor Exchange for Ssa1p
S000000306	YBR102C	S. cerevisiae	EXO84	EXOcyst
S000000307	YBR103W	S. cerevisiae	SIF2	Sir4p-Interacting Factor
S000000308	YBR104W	S. cerevisiae	YMC2	Yeast Mitochondrial Carrier
S000000309	YBR105C	S. cerevisiae	VID24	Vacuolar Import and Degradation
S000000310	YBR106W	S. cerevisiae	SND3	SRP-iNDependent targeting
S000000313	YBR109C	S. cerevisiae	CMD1	CalMoDulin
S000000314	YBR110W	S. cerevisiae	ALG1	Asparagine-Linked Glycosylation
S000000315	YBR111C	S. cerevisiae	YSA1	
S000000316	YBR112C	S. cerevisiae	CYC8	CYtochrome C
S000000318	YBR114W	S. cerevisiae	RAD16	RADiation sensitive
S000000319	YBR115C	S. cerevisiae	LYS2	LYSine requiring
S000000321	YBR117C	S. cerevisiae	TKL2	TransKetoLase
S000000322	YBR118W	S. cerevisiae	TEF2	Translation Elongation Factor
S000000323	YBR119W	S. cerevisiae	MUD1	Mutant U1 Die
S000000325	YBR121C	S. cerevisiae	GRS1	Glycyl-tRNA Synthase
S000000326	YBR122C	S. cerevisiae	MRPL36	Mitochondrial Ribosomal Protein, Large subunit
S000000327	YBR123C	S. cerevisiae	TFC1	Transcription Factor class C
S000000329	YBR125C	S. cerevisiae	PTC4	Phosphatase Two C
S000000330	YBR126C	S. cerevisiae	TPS1	Trehalose-6-Phosphate Synthase
S000000331	YBR127C	S. cerevisiae	VMA2	Vacuolar Membrane Atpase
S000000333	YBR129C	S. cerevisiae	OPY1	Overproduction-induced Pheromone-resistant Yeast
S000000336	YBR132C	S. cerevisiae	AGP2	high-Affinity Glutamine Permease
S000000337	YBR133C	S. cerevisiae	HSL7	Histone Synthetic Lethal
S000000339	YBR135W	S. cerevisiae	CKS1	Cdc28 Kinase Subunit
S000000340	YBR136W	S. cerevisiae	MEC1	Mitosis Entry Checkpoint
S000000341	YBR137W	S. cerevisiae		
S000000343	YBR139W	S. cerevisiae	ATG42	AuTophaGy
S000000344	YBR140C	S. cerevisiae	IRA1	Inhibitory Regulator of the RAS-cAMP pathway
S000000345	YBR141C	S. cerevisiae	BMT2	Base MethylTransferase of 25S RNA
S000000346	YBR142W	S. cerevisiae	MAK5	MAintenance of Killer
S000000347	YBR143C	S. cerevisiae	SUP45	SUPpressor
S000000349	YBR145W	S. cerevisiae	ADH5	Alcohol DeHydrogenase
S000000350	YBR146W	S. cerevisiae	MRPS9	Mitochondrial Ribosomal Protein, Small subunit
S000000351	YBR147W	S. cerevisiae	RTC2	Restriction of Telomere Capping
S000000353	YBR149W	S. cerevisiae	ARA1	D-ARAbinose dehydrogenase
S000000355	YBR151W	S. cerevisiae	APD1	Actin Patches Distal
S000000357	YBR153W	S. cerevisiae	RIB7	RIBoflavin biosynthesis
S000000358	YBR154C	S. cerevisiae	RPB5	RNA Polymerase B
S000000359	YBR155W	S. cerevisiae	CNS1	CyclophiliN Seven suppressor
S000000362	YBR158W	S. cerevisiae	AMN1	Antagonist of Mitotic exit Network
S000000363	YBR159W	S. cerevisiae	IFA38	
S000000364	YBR160W	S. cerevisiae	CDC28	Cell Division Cycle
S000000366	YBR162C	S. cerevisiae	TOS1	Target Of Sbf
S000000368	YBR164C	S. cerevisiae	ARL1	ADP-Ribosylation factor-Like
S000000370	YBR166C	S. cerevisiae	TYR1	TYRosine
S000000371	YBR167C	S. cerevisiae	POP7	Processing Of Precursor RNAs
S000000372	YBR168W	S. cerevisiae	PEX32	PEroXisome related
S000000373	YBR169C	S. cerevisiae	SSE2	Stress Seventy subfamily E
S000000374	YBR170C	S. cerevisiae	NPL4	Nuclear Protein Localization
S000000375	YBR171W	S. cerevisiae	SEC66	SECretory
S000000377	YBR173C	S. cerevisiae	UMP1	Ubiquitin-Mediated Proteolysis
S000000379	YBR175W	S. cerevisiae	SWD3	Set1c, WD40 repeat protein
S000000380	YBR176W	S. cerevisiae	ECM31	ExtraCellular Mutant
S000000381	YBR177C	S. cerevisiae	EHT1	Ethanol Hexanoyl Transferase
S000000383	YBR179C	S. cerevisiae	FZO1	FuZzy Onions homolog
S000000384	YBR180W	S. cerevisiae	DTR1	DiTyRosine
S000000385	YBR181C	S. cerevisiae	RPS6B	Ribosomal Protein of the Small subunit
S000000387	YBR183W	S. cerevisiae	YPC1	Yeast Phyto-Ceramidase
S000000389	YBR185C	S. cerevisiae	MBA1	Multi-copy Bypass of AFG3
S000000390	YBR186W	S. cerevisiae	PCH2	Pachytene CHeckpoint
S000000391	YBR187W	S. cerevisiae	GDT1	Gcr1 Dependent Translation factor
S000000393	YBR189W	S. cerevisiae	RPS9B	Ribosomal Protein of the Small subunit
S000000395	YBR191W	S. cerevisiae	RPL21A	Ribosomal Protein of the Large subunit
S000000396	YBR192W	S. cerevisiae	RIM2	Replication In Mitochondria
S000000397	YBR193C	S. cerevisiae	MED8	MEDiator complex
S000000399	YBR195C	S. cerevisiae	MSI1	Multicopy Suppressor of IRA1
S000000400	YBR196C	S. cerevisiae	PGI1	PhosphoGlucoIsomerase
S000000402	YBR198C	S. cerevisiae	TAF5	TATA binding protein-Associated Factor
S000000403	YBR199W	S. cerevisiae	KTR4	Kre Two Related
S000000404	YBR200W	S. cerevisiae	BEM1	Bud EMergence
S000000406	YBR202W	S. cerevisiae	MCM7	MiniChromosome Maintenance
S000000408	YBR204C	S. cerevisiae	LDH1	Lipid Droplet Hydrolase
S000000409	YBR205W	S. cerevisiae	KTR3	Kre Two Related
S000000411	YBR207W	S. cerevisiae	FTH1	FTR1 Homolog
S000000412	YBR208C	S. cerevisiae	DUR12	Degradation of URea
S000000414	YBR210W	S. cerevisiae	ERV15	ER Vesicle Protein
S000000416	YBR212W	S. cerevisiae	NGR1	Negative Growth Regulatory protein
S000000417	YBR213W	S. cerevisiae	MET8	METhionine requiring
S000000418	YBR214W	S. cerevisiae	SDS24	homolog of S. pombe SDS23
S000000420	YBR216C	S. cerevisiae	YBP1	Yap1-Binding Protein
S000000421	YBR217W	S. cerevisiae	ATG12	AuTophaGy related
S000000422	YBR218C	S. cerevisiae	PYC2	PYruvate Carboxylase
S000000423	YBR219C	S. cerevisiae		
S000000424	YBR220C	S. cerevisiae		
S000000425	YBR221C	S. cerevisiae	PDB1	Pyruvate Dehydrogenase Beta subunit
S000000426	YBR222C	S. cerevisiae	PCS60	Peroxisomal CoA-dependent Synthetase
S000000427	YBR223C	S. cerevisiae	TDP1	Tyrosyl-DNA Phosphodiesterase
S000000431	YBR227C	S. cerevisiae	MCX1	Mitochondrial ClpX
S000000432	YBR228W	S. cerevisiae	SLX1	Synthetic Lethal of unknown (X) function
S000000433	YBR229C	S. cerevisiae	ROT2	Reversal Of Tor2 lethality
S000000437	YBR233W	S. cerevisiae	PBP2	Pbp1p Binding Protein
S000000438	YBR234C	S. cerevisiae	ARC40	ARp2/3 Complex subunit
S000000439	YBR235W	S. cerevisiae	VHC1	Vacuolar protein Homologous to CCC family
S000000440	YBR236C	S. cerevisiae	ABD1	
S000000441	YBR237W	S. cerevisiae	PRP5	Pre-mRNA Processing
S000000443	YBR239C	S. cerevisiae	ERT1	Ethanol Regulated Transcription factor
S000000445	YBR241C	S. cerevisiae	VVS1	Vacuolar protein Vital for Stress response
S000000446	YBR242W	S. cerevisiae		
S000000447	YBR243C	S. cerevisiae	ALG7	Asparagine-Linked Glycosylation
S000000448	YBR244W	S. cerevisiae	GPX2	Glutathione PeroXidase
S000000449	YBR245C	S. cerevisiae	ISW1	Imitation SWitch subfamily
S000000450	YBR246W	S. cerevisiae	RRT2	Regulator of rDNA Transcription
S000000451	YBR247C	S. cerevisiae	ENP1	Essential Nuclear Protein
S000000452	YBR248C	S. cerevisiae	HIS7	HIStidine requiring
S000000453	YBR249C	S. cerevisiae	ARO4	AROmatic amino acid requiring
S000000455	YBR251W	S. cerevisiae	MRPS5	Mitochondrial Ribosomal Protein, Small subunit
S000000456	YBR252W	S. cerevisiae	DUT1	DUTp pyrophosphatase
S000000457	YBR253W	S. cerevisiae	SRB6	Suppressor of RNA polymerase B
S000000458	YBR254C	S. cerevisiae	TRS20	TRapp Subunit
S000000460	YBR256C	S. cerevisiae	RIB5	RIBoflavin biosynthesis
S000000461	YBR257W	S. cerevisiae	POP4	Processing Of Precursor RNAs
S000000464	YBR260C	S. cerevisiae	RGD1	Related GAP Domain
S000000465	YBR261C	S. cerevisiae	TAE1	Translation Associated Element
S000000467	YBR263W	S. cerevisiae	SHM1	Serine HydroxyMethyltransferase
S000000468	YBR264C	S. cerevisiae	YPT10	Yeast Protein Two
S000000469	YBR265W	S. cerevisiae	TSC10	Temperature-sensitive Suppressors of Csg2 mutants
S000000471	YBR267W	S. cerevisiae	REI1	REquired for Isotropic bud growth
S000000472	YBR268W	S. cerevisiae	MRPL37	Mitochondrial Ribosomal Protein, Large subunit
S000000473	YBR269C	S. cerevisiae	SDH8	Succinate DeHydrogenase
S000000474	YBR270C	S. cerevisiae	BIT2	Binding partner of Tor2p
S000000475	YBR271W	S. cerevisiae	EFM2	Elongation Factor Methyltransferase
S000000478	YBR274W	S. cerevisiae	CHK1	CHeckpoint Kinase
S000000480	YBR276C	S. cerevisiae	PPS1	Protein Phosphatase S phase
S000000482	YBR278W	S. cerevisiae	DPB3	DNA Polymerase B (II) subunit
S000000483	YBR279W	S. cerevisiae	PAF1	RNA Polymerase II Associated Factor
S000000484	YBR280C	S. cerevisiae	SAF1	SCF Associated Factor
S000000485	YBR281C	S. cerevisiae	DUG2	Deficient in Utilization of Glutathione
S000000486	YBR282W	S. cerevisiae	MRPL27	Mitochondrial Ribosomal Protein, Large subunit
S000000487	YBR283C	S. cerevisiae	SSH1	Sec Sixty-one Homolog
S000000488	YBR284W	S. cerevisiae		
S000000490	YBR286W	S. cerevisiae	APE3	AminoPEptidase
S000000491	YBR287W	S. cerevisiae		
S000000492	YBR288C	S. cerevisiae	APM3	clathrin Adaptor Protein complex Medium chain
S000000493	YBR289W	S. cerevisiae	SNF5	Sucrose NonFermenting
S000000494	YBR290W	S. cerevisiae	BSD2	Bypass Sod1p Defects
S000000495	YBR291C	S. cerevisiae	CTP1	Citrate Transport Protein
S000000497	YBR293W	S. cerevisiae	VBA2	Vacuolar Basic Amino acid transporter
S000000498	YBR294W	S. cerevisiae	SUL1	SULfate
S000000499	YBR295W	S. cerevisiae	PCA1	P-type Cation-transporting ATPase
S000000500	YBR296C	S. cerevisiae	PHO89	PHOsphate metabolism
S000000501	YBR297W	S. cerevisiae	MAL33	MALtose
S000000502	YBR298C	S. cerevisiae	MAL31	MALtose fermentation
S000000507	YCL001W	S. cerevisiae	RER1	Retention in the Endoplasmic Reticulum
S000000508	YCL002C	S. cerevisiae		
S000000510	YCL004W	S. cerevisiae	PGS1	PhosphatidylGlycerolphosphate Synthase
S000000515	YCL009C	S. cerevisiae	ILV6	IsoLeucine Valine
S000000516	YCL010C	S. cerevisiae	SGF29	SaGa associated Factor
S000000517	YCL011C	S. cerevisiae	GBP2	G-strand Binding Protein
S000000520	YCL014W	S. cerevisiae	BUD3	BUD site selection
S000000521	YCL016C	S. cerevisiae	DCC1	Defective in sister Chromatid Cohesion
S000000522	YCL017C	S. cerevisiae	NFS1	NiFS-like
S000000523	YCL018W	S. cerevisiae	LEU2	LEUcine biosynthesis
S000000529	YCL024W	S. cerevisiae	KCC4	
S000000530	YCL025C	S. cerevisiae	AGP1	high-Affinity Glutamine Permease
S000000533	YCL028W	S. cerevisiae	RNQ1	Rich in asparagine (N) and glutamine (Q)
S000000535	YCL030C	S. cerevisiae	HIS4	HIStidine requiring
S000000536	YCL031C	S. cerevisiae	RRP7	Ribosomal RNA Processing
S000000538	YCL033C	S. cerevisiae	MXR2	peptide Methionine sulfoXide Reductase
S000000539	YCL034W	S. cerevisiae	LSB5	Las Seventeen Binding protein
S000000540	YCL035C	S. cerevisiae	GRX1	GlutaRedoXin
S000000541	YCL036W	S. cerevisiae	GFD2	Great for Full DEAD box protein activity
S000000543	YCL038C	S. cerevisiae	ATG22	AuTophaGy related
S000000544	YCL039W	S. cerevisiae	GID7	Glucose Induced Degradation deficient
S000000545	YCL040W	S. cerevisiae	GLK1	GLucoKinase
S000000548	YCL043C	S. cerevisiae	PDI1	Protein Disulfide Isomerase
S000000550	YCL045C	S. cerevisiae	EMC1	ER Membrane protein Complex
S000000552	YCL047C	S. cerevisiae	POF1	Promoter Of Filamentation
S000000553	YCL048W	S. cerevisiae	SPS22	SPorulation Specific 2 too (2)
S000000555	YCL050C	S. cerevisiae	APA1	AP4A phosphorylase
S000000557	YCL052C	S. cerevisiae	PBN1	Protease B Non-derepressible
S000000559	YCL054W	S. cerevisiae	SPB1	Suppressor of PaB1 mutant
