Gene	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
YALI0_A00781g	4952.CAG83548	1.72E-136	386	COG0526@1|root,KOG1672@2759|Eukaryota,39ZXY@33154|Opisthokonta,3P6FC@4751|Fungi,3RJRA@4890|Ascomycota,3RXG8@4891|Saccharomycetes	4891|Saccharomycetes	CO	Thioredoxin	-	-	-	-	-	-	-	-	-	-	-	-	Phosducin,Thioredoxin
YALI0_A00803g	4952.CAG83549	0	1618	COG0532@1|root,KOG1144@2759|Eukaryota,38DE9@33154|Opisthokonta,3NX6J@4751|Fungi,3QKBR@4890|Ascomycota,3RT8Z@4891|Saccharomycetes	4891|Saccharomycetes	J	to Saccharomyces cerevisiae FUN12 (YAL035W)	FUN12	GO:0000166,GO:0000462,GO:0001732,GO:0001882,GO:0001883,GO:0002181,GO:0002183,GO:0003674,GO:0003676,GO:0003723,GO:0003743,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006413,GO:0006417,GO:0006446,GO:0006518,GO:0006725,GO:0006807,GO:0006996,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010556,GO:0010608,GO:0015935,GO:0016043,GO:0016070,GO:0016072,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019222,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030490,GO:0030684,GO:0030687,GO:0031323,GO:0031326,GO:0031369,GO:0032268,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0033290,GO:0034248,GO:0034470,GO:0034622,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0035770,GO:0036094,GO:0036464,GO:0042254,GO:0042255,GO:0042274,GO:0043021,GO:0043022,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044877,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0060255,GO:0065003,GO:0065007,GO:0070925,GO:0070993,GO:0071704,GO:0071826,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904,GO:2000112	-	ko:K03243	ko03013,map03013	-	-	-	ko00000,ko00001,ko03012	-	-	-	GTP_EFTU,GTP_EFTU_D2,IF-2
YALI0_A00847g	4952.CAG83551	1.44E-253	695	COG0667@1|root,KOG1575@2759|Eukaryota,38H5S@33154|Opisthokonta,3NVMZ@4751|Fungi,3QJXM@4890|Ascomycota,3RR8T@4891|Saccharomycetes	4890|Ascomycota	C	to uniprot Q02895 Saccharomyces cerevisiae YPL088w	-	-	-	-	-	-	-	-	-	-	-	-	Aldo_ket_red
YALI0_A00891g	4952.CAG83553	0	958	COG0639@1|root,KOG0371@2759|Eukaryota,38CQT@33154|Opisthokonta,3NU6N@4751|Fungi,3QMBX@4890|Ascomycota,3RSDX@4891|Saccharomycetes	4891|Saccharomycetes	T	serine threonine-protein phosphatase	PPH21	GO:0000003,GO:0000075,GO:0000082,GO:0000159,GO:0000228,GO:0000278,GO:0000775,GO:0000779,GO:0000780,GO:0000793,GO:0000794,GO:0003674,GO:0003824,GO:0004721,GO:0004722,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0006417,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007010,GO:0007015,GO:0007049,GO:0007088,GO:0007093,GO:0007094,GO:0007114,GO:0007117,GO:0007346,GO:0008150,GO:0008152,GO:0008287,GO:0009889,GO:0009987,GO:0010468,GO:0010494,GO:0010556,GO:0010564,GO:0010608,GO:0010639,GO:0010948,GO:0010965,GO:0016043,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019222,GO:0019538,GO:0019954,GO:0022402,GO:0022414,GO:0030029,GO:0030036,GO:0030071,GO:0031323,GO:0031326,GO:0031577,GO:0031974,GO:0031981,GO:0032268,GO:0032505,GO:0032879,GO:0032991,GO:0033043,GO:0033044,GO:0033045,GO:0033046,GO:0033047,GO:0033048,GO:0034248,GO:0034399,GO:0035770,GO:0036211,GO:0036464,GO:0040007,GO:0042578,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0044770,GO:0044772,GO:0044843,GO:0045786,GO:0045839,GO:0045841,GO:0045930,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051171,GO:0051246,GO:0051301,GO:0051726,GO:0051783,GO:0051784,GO:0051983,GO:0051985,GO:0060255,GO:0060341,GO:0065007,GO:0070013,GO:0070262,GO:0071173,GO:0071174,GO:0071704,GO:0071840,GO:0080090,GO:0097435,GO:0098687,GO:0140096,GO:1901564,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902099,GO:1902100,GO:1902494,GO:1903047,GO:1903293,GO:1905818,GO:1905819,GO:1990904,GO:2000112,GO:2000197,GO:2000198,GO:2000816,GO:2001251	3.1.3.16	ko:K04382	ko03015,ko04013,ko04071,ko04111,ko04113,ko04114,ko04136,ko04138,ko04140,ko04151,ko04152,ko04261,ko04350,ko04390,ko04391,ko04530,ko04728,ko04730,ko05142,ko05160,ko05165,map03015,map04013,map04071,map04111,map04113,map04114,map04136,map04138,map04140,map04151,map04152,map04261,map04350,map04390,map04391,map04530,map04728,map04730,map05142,map05160,map05165	-	-	-	ko00000,ko00001,ko01000,ko01009,ko03036,ko04147	-	-	-	Metallophos
YALI0_A00913g	4952.CAG83554	0	1457	COG5371@1|root,KOG1386@2759|Eukaryota,39YVY@33154|Opisthokonta,3NY3B@4751|Fungi,3QT40@4890|Ascomycota,3RTZD@4891|Saccharomycetes	4891|Saccharomycetes	F	Belongs to the GDA1 CD39 NTPase family	-	-	-	-	-	-	-	-	-	-	-	-	GDA1_CD39
YALI0_A00979g	4952.CAG83557	0	882	COG0428@1|root,KOG2474@2759|Eukaryota,38GFA@33154|Opisthokonta,3NZD6@4751|Fungi,3QQTU@4890|Ascomycota,3RU83@4891|Saccharomycetes	4891|Saccharomycetes	P	to Saccharomyces cerevisiae ZRT3 (YKL175W)	ZRT3	GO:0000041,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005215,GO:0005385,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005783,GO:0006810,GO:0006811,GO:0006812,GO:0006829,GO:0006873,GO:0006875,GO:0006882,GO:0008150,GO:0008324,GO:0009987,GO:0012505,GO:0015075,GO:0015318,GO:0016020,GO:0016021,GO:0019725,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0031090,GO:0031224,GO:0034220,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046873,GO:0046915,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0055065,GO:0055069,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070838,GO:0071577,GO:0072503,GO:0072507,GO:0072509,GO:0072511,GO:0098588,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0098805,GO:0098852	-	ko:K07238	-	-	-	-	ko00000,ko02000	2.A.5.5	-	-	Zip
YALI0_A01001g	4952.CAG83558	9.32E-252	691	2CXUR@1|root,2RZXR@2759|Eukaryota,3A204@33154|Opisthokonta,3P2X7@4751|Fungi,3QV2N@4890|Ascomycota,3RUHB@4891|Saccharomycetes	4891|Saccharomycetes	S	to Saccharomyces cerevisiae VPH2 (YKL119C)	VPH2	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006873,GO:0006885,GO:0007035,GO:0008150,GO:0009987,GO:0012505,GO:0016020,GO:0016043,GO:0019725,GO:0022607,GO:0030003,GO:0030004,GO:0030641,GO:0031984,GO:0032991,GO:0034622,GO:0042175,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045851,GO:0048878,GO:0050801,GO:0051452,GO:0051453,GO:0055067,GO:0055080,GO:0055082,GO:0065003,GO:0065007,GO:0065008,GO:0070070,GO:0070071,GO:0070072,GO:0071840,GO:0098771,GO:0098827,GO:1990871	-	-	-	-	-	-	-	-	-	-	Vma12
YALI0_A01023g	4952.CAG83559	0	2090	COG0474@1|root,KOG0202@2759|Eukaryota,38FIJ@33154|Opisthokonta,3NU1M@4751|Fungi,3QMM2@4890|Ascomycota,3RRQZ@4891|Saccharomycetes	4891|Saccharomycetes	P	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family	ENA2	GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006814,GO:0006950,GO:0006970,GO:0006972,GO:0007154,GO:0008150,GO:0008324,GO:0008554,GO:0008556,GO:0009267,GO:0009268,GO:0009605,GO:0009628,GO:0009651,GO:0009987,GO:0009991,GO:0015075,GO:0015077,GO:0015079,GO:0015081,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0034220,GO:0035725,GO:0042149,GO:0042594,GO:0042623,GO:0042625,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046873,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0071496,GO:0071804,GO:0071805,GO:0071944,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132	3.6.3.7	ko:K01536	-	-	-	-	ko00000,ko01000	-	-	-	Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase
YALI0_A01045g	4952.CAG83560	3.4E-280	764	COG0647@1|root,KOG1618@2759|Eukaryota,39SVY@33154|Opisthokonta,3NWHC@4751|Fungi,3QKZM@4890|Ascomycota,3RTHE@4891|Saccharomycetes	4891|Saccharomycetes	G	Saccharomyces cerevisiae YKR070w	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0019637,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045017,GO:0046474,GO:0046486,GO:0071704,GO:0090407,GO:1901576	-	-	-	-	-	-	-	-	-	-	Hydrolase_6,Hydrolase_like
YALI0_A01067g	4952.CAG83561	3.57E-103	298	COG3582@1|root,2SA79@2759|Eukaryota,3A8B9@33154|Opisthokonta,3P2J7@4751|Fungi,3QYJI@4890|Ascomycota,3RVHX@4891|Saccharomycetes	4891|Saccharomycetes	S	Saccharomyces cerevisiae YOR052C	-	-	-	ko:K07059	-	-	-	-	ko00000	-	-	-	ubiquitin,zf-AN1
YALI0_A01111g	4952.CAG83563	1.1E-119	342	2CI4P@1|root,2S227@2759|Eukaryota,39JBH@33154|Opisthokonta,3Q3N8@4751|Fungi,3RKQ5@4890|Ascomycota,3RUTI@4891|Saccharomycetes	4891|Saccharomycetes	S	OHCU decarboxylase	-	-	-	-	-	-	-	-	-	-	-	-	OHCU_decarbox
YALI0_A01133g	4952.CAG83564	0	1045	COG0007@1|root,KOG1527@2759|Eukaryota,38FWZ@33154|Opisthokonta,3NVMM@4751|Fungi,3QKNK@4890|Ascomycota,3RRD1@4891|Saccharomycetes	4891|Saccharomycetes	H	Belongs to the precorrin methyltransferase family	MET1	GO:0000103,GO:0003674,GO:0003824,GO:0004851,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008757,GO:0009058,GO:0009987,GO:0016740,GO:0016741,GO:0018130,GO:0019354,GO:0019438,GO:0032259,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046156,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.1.1.107	ko:K00589	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120	M00121	R03194	RC00003,RC00871	ko00000,ko00001,ko00002,ko01000	-	-	-	NAD_binding_7,Sirohm_synth_M,TP_methylase
YALI0_A01155g	4952.CAG83565	3.47e-310	843	COG1680@1|root,2QQGR@2759|Eukaryota,39FHE@33154|Opisthokonta,3NX9W@4751|Fungi,3QP7T@4890|Ascomycota,3RUYX@4891|Saccharomycetes	4891|Saccharomycetes	V	Beta-lactamase	-	-	-	-	-	-	-	-	-	-	-	-	Beta-lactamase
